Nâng cấp bắt đầu: 15:17:54_23-07-2024
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/nv.upload.error.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/nv.upload.success.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/balloonpanel/skins/kama/balloonpanel.css | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/balloonpanel/skins/moono/balloonpanel.css | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/balloonpanel/skins/moono-lisa/balloonpanel.css | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/clipboard/dialogs/paste.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/codesnippet/dialogs/codesnippet.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/colordialog/dialogs/colordialog.css | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/colordialog/dialogs/colordialog.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/copyformatting/styles/copyformatting.css | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/dialog/dialogDefinition.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/docviewer/dialogs/docviewer.css | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/docviewer/dialogs/docviewer.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/docviewer/dialogs/index.html | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/docviewer/icons/docviewer.png | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/docviewer/icons/docviewer_big.png | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/docviewer/icons/index.html | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/docviewer/lang/en.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/docviewer/lang/fr.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/docviewer/lang/index.html | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/docviewer/lang/ru.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/docviewer/lang/vi.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/docviewer/plugin.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/eqneditor/dialogs/eqneditor.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/eqneditor/dialogs/lang/en.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/find/dialogs/find.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/icons.png | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/icons_hidpi.png | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/iframe/dialogs/iframe.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/image2/dialogs/image2.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/link/dialogs/anchor.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/link/dialogs/link.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/liststyle/dialogs/liststyle.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/pastefromword/filter/default.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/pastetools/filter/common.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/pastetools/filter/image.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/placeholder/dialogs/placeholder.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/smiley/dialogs/smiley.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/specialchar/dialogs/lang/en.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/specialchar/dialogs/lang/fr.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/specialchar/dialogs/lang/vi.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/specialchar/dialogs/specialchar.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/table/dialogs/table.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/tabletools/dialogs/tableCell.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/templates/dialogs/templates.css | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/templates/dialogs/templates.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/templates/templatedefinition.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/templates/templates/default.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/video/dialogs/video.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/video/icons/hidpi/video.png | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/video/icons/video.png | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/video/images/placeholder.png | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/video/lang/en.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/video/lang/fr.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/video/lang/ru.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/video/lang/vi.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/video/plugin.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog.css | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_ie.css | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_ie7.css | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_ie8.css | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_iequirks.css | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor.css | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_gecko.css | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_ie.css | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_ie7.css | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_ie8.css | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_iequirks.css | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/icons.png | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/icons_hidpi.png | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor/styles.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/LICENSE.md | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/ckeditor.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/index.html | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/language/en.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/language/fr.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/language/index.html | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/language/ru.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/language/vi.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/nv.callback.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/nv.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/nv.upload.error.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/nv.upload.success.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/DOMPurify/purify2.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/DOMPurify/purify3.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/admin.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/chart/chart.esm.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/chart/chart.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/chart/chart.min.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/chart/chunks/helpers.segment.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/chart/helpers.esm.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/clipboard/clipboard.min.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/global.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/highlight/github.min.css | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/highlight/highlight.min.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/highlight/index.html | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/jquery/additional-methods.min.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/jquery/jquery.min.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/jquery/jquery.validate.min.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/jquery-ui/images/ui-icons_444444_256x240.png | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/jquery-ui/images/ui-icons_555555_256x240.png | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/jquery-ui/images/ui-icons_777620_256x240.png | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/jquery-ui/images/ui-icons_777777_256x240.png | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/jquery-ui/images/ui-icons_cc0000_256x240.png | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/jquery-ui/images/ui-icons_ffffff_256x240.png | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/jquery-ui/jquery-ui.min.css | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/jquery-ui/jquery-ui.min.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/jquery-ui/jquery-ui.structure.min.css | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/jquery-ui/jquery-ui.theme.min.css | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/language/jquery.validator-fr.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/language/jquery.validator-vi.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/plyr/index.html | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/plyr/plyr.css | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/plyr/plyr.polyfilled.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/plyr/plyr.svg | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/site.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/stickytableheaders/index.html | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/stickytableheaders/jquery.stickytableheaders.min.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/js/upload.js | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file assets/tpl/rss.tpl | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file composer.json | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file data/certs/cacert.pem | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/action_mysql.php | SUCCESS
15:18:23_23-07-2024 | ::1 | Di chuyển file includes/api/ClearCache.php | SUCCESS
